列表更新时间,#genre#
2025-08-15 20:03:15,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/time/time.mp4
4K频道,#genre#
4K60PSDR-H264-AAC测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/sdr4kvideo/playlist.m3u8
4K60PHLG-HEVC-EAC3测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/hlg4kvideo/playlist.m3u8
zonghe,#genre#
 24官频陪你一起看,https://mursor.ottiptv.cc/yy/1351186084
 举起手来-惊险抗日,https://mursor.ottiptv.cc/yy/1382736877
 武林外传,https://mursor.ottiptv.cc/yy/1355652820
 少年包青天,https://mursor.ottiptv.cc/yy/1356043677
 超精彩武打场景,https://mursor.ottiptv.cc/yy/1354936131
 【林正英经典】玄幻电影,https://mursor.ottiptv.cc/yy/1462895099
 【新三国】萌儿陪看,https://mursor.ottiptv.cc/yy/29216766
 林正英-经典电影,https://mursor.ottiptv.cc/yy/34229877
 【鹿鼎记】金庸经典,https://mursor.ottiptv.cc/yy/28265277
 经典电影 港片枪战,https://mursor.ottiptv.cc/yy/1355076627
 晾剑 电视剧,https://mursor.ottiptv.cc/yy/1451866697
 雍正王朝,https://mursor.ottiptv.cc/yy/1356043620
 济公,https://mursor.ottiptv.cc/yy/1355265814
 【战狼3吴京】首播,https://mursor.ottiptv.cc/yy/1456668939
 纪晓岚,https://mursor.ottiptv.cc/yy/1354143978
 纪晓岚,https://mursor.ottiptv.cc/yy/1382781415
 纪晓岚,https://mursor.ottiptv.cc/yy/1352227227
 武林外传 超清,https://mursor.ottiptv.cc/yy/21092633
 经典鬼片3000部,https://mursor.ottiptv.cc/yy/29460894
 地下交通站,https://mursor.ottiptv.cc/yy/1382736795
 靓剑,https://mursor.ottiptv.cc/yy/1356043643
 勇敢的心 ~24经典好剧,https://mursor.ottiptv.cc/yy/1354744544
 正阳门下,https://mursor.ottiptv.cc/yy/1354931580
 正阳门下,https://mursor.ottiptv.cc/yy/1382851588
 神雕侠侣,https://mursor.ottiptv.cc/yy/1351762426
 朵宝陪你看狄仁杰,https://mursor.ottiptv.cc/yy/1353753252
 天龙八部,https://mursor.ottiptv.cc/yy/1351814644
 绝版电影 港片女鬼,https://mursor.ottiptv.cc/yy/1455988450
 绝版电影 港片女鬼,https://mursor.ottiptv.cc/yy/1461579859
 惊恐盗暮鬼怪,https://mursor.ottiptv.cc/yy/1382749525
 林正英经典,https://mursor.ottiptv.cc/yy/1351505899
 李连杰功夫 经典武侠,https://mursor.ottiptv.cc/yy/74613175
 【周星驰】搞笑电影,https://mursor.ottiptv.cc/yy/38670875
 内在美-伊人有约,https://mursor.ottiptv.cc/yy/1382737892
 8090.电影一哥,https://mursor.ottiptv.cc/yy/29197808
 经典港片动作搞笑,https://mursor.ottiptv.cc/yy/1459869766
 超清鬼片 港片,https://mursor.ottiptv.cc/yy/1335509613
 倚天屠龙记高清,https://mursor.ottiptv.cc/yy/1414846486
 恐怖诡异墓穴,https://mursor.ottiptv.cc/yy/1382748585
 83射雕英雄传,https://mursor.ottiptv.cc/yy/1354210357
 【经典抗战剧】,https://mursor.ottiptv.cc/yy/1354806550
 倚天屠龙记,https://mursor.ottiptv.cc/yy/33300793
 晾剑2超经典,https://mursor.ottiptv.cc/yy/1460662397
 雪中悍刀行,https://mursor.ottiptv.cc/yy/1462996362
 老卓电影,https://mursor.ottiptv.cc/yy/1354770516
 雪豹2,https://mursor.ottiptv.cc/yy/1450496699
 喨剑电视剧,https://mursor.ottiptv.cc/yy/1453810838
 鬼经典老片,https://mursor.ottiptv.cc/yy/1463783198
 笑傲江湖 4K超清,https://mursor.ottiptv.cc/yy/1354282410
 五号特工组,https://mursor.ottiptv.cc/yy/1414967772
 燕双鹰,https://mursor.ottiptv.cc/yy/1354143942
 燕双鹰,https://mursor.ottiptv.cc/yy/1352227153
 康熙微服私访记,https://mursor.ottiptv.cc/yy/1352811698
 抗战神剧,https://mursor.ottiptv.cc/yy/1507704566
 隋唐英雄传,https://mursor.ottiptv.cc/yy/1352475619
 狄仁杰,https://mursor.ottiptv.cc/yy/1351755386
 赵本山《蓝光版》,https://mursor.ottiptv.cc/yy/32160832
 经典鬼片,https://mursor.ottiptv.cc/yy/1460889796
 狂飙,https://mursor.ottiptv.cc/yy/1382754187
 狂飙,https://mursor.ottiptv.cc/yy/1382627144
 薛仁贵传奇,https://mursor.ottiptv.cc/yy/1355260662
 动漫,https://mursor.ottiptv.cc/yy/26664495
 动漫,https://mursor.ottiptv.cc/yy/1354143938
 动漫,https://mursor.ottiptv.cc/yy/1354768831
 赵本山《超清版》,https://mursor.ottiptv.cc/yy/1382683959
 真实案件系列,https://mursor.ottiptv.cc/yy/1382671124
 大家车言论,https://mursor.ottiptv.cc/yy/1382570702
 鹊刀门,https://mursor.ottiptv.cc/yy/1355344777
 古惑仔,https://mursor.ottiptv.cc/yy/1458015189
 我想你了,https://mursor.ottiptv.cc/yy/1353215589
 弹幕天团 下饭神剧,https://mursor.ottiptv.cc/yy/23512910
 豪哥带我们发财,https://mursor.ottiptv.cc/yy/23402146
 打狗棍  4K超清,https://mursor.ottiptv.cc/yy/39736069
 知否知否应是绿肥红瘦,https://mursor.ottiptv.cc/yy/21881901
 小兵张嘎,https://mursor.ottiptv.cc/yy/1354930225
 金牌配角达叔系列,https://mursor.ottiptv.cc/yy/1354888728
 欢乐集结号-每天笑不停,https://mursor.ottiptv.cc/yy/1382741642
 康熙王朝,https://mursor.ottiptv.cc/yy/1382851583
 甜心 正在直播,https://mursor.ottiptv.cc/yy/1454732419
 寻秦记-穿越剧经典,https://mursor.ottiptv.cc/yy/1382749900
 寻秦记-穿越剧经典,https://mursor.ottiptv.cc/yy/1382851591
 大话西游至尊宝,https://mursor.ottiptv.cc/yy/1382851590
 神探狄仁杰1,https://mursor.ottiptv.cc/yy/1382851575
 神探狄仁杰1,https://mursor.ottiptv.cc/yy/1354930934
 宰相刘罗锅,https://mursor.ottiptv.cc/yy/1382745191
 宰相刘罗锅,https://mursor.ottiptv.cc/yy/1353892468
 动漫《火影疾风传》,https://mursor.ottiptv.cc/yy/1459675153
 震撼！国内功夫大片,https://mursor.ottiptv.cc/yy/1382736902
 宋小宝小品合集,https://mursor.ottiptv.cc/yy/1354931577
 国内玄幻电影-林正英,https://mursor.ottiptv.cc/yy/1354932444
 情满四合院,https://mursor.ottiptv.cc/yy/1382851524
 情满四合院,https://mursor.ottiptv.cc/yy/1382736848
 大家都在看的电视剧,https://mursor.ottiptv.cc/yy/1354930964
 二号交通站,https://mursor.ottiptv.cc/yy/1354930965
 二号交通站,https://mursor.ottiptv.cc/yy/1382735582
 二号交通站,https://mursor.ottiptv.cc/yy/1382851582
 情满四合院-高分电视剧,https://mursor.ottiptv.cc/yy/1382735541
 新白娘子传奇-女神赵雅芝,https://mursor.ottiptv.cc/yy/1354930969
